"name","Cup116m_Mean","Cup116m_Stdv","Cup116m_Min","Cup116m_Max","Cup114m_Mean","Cup114m_Stdv","Cup114m_Min","Cup114m_Max","Cup100m_Mean","Cup100m_Stdv","Cup100m_Min","Cup100m_Max","Vane100m_Mean","Vane100m_Stdv","Vane100m_Min","Vane100m_Max","Temp100m_Mean","Temp100m_Stdv","Temp100m_Min","Temp100m_Max","Sonic100m_Scalar_Mean","Sonic100m_Scalar_Stdv","Sonic100m_Scalar_Min","Sonic100m_Scalar_Max","Sonic100m_Dir","Sonic100m_Vector_Mean","Spd","Spd_stdv","Spd_min","Spd_max","Dir","Dir_stdv","W","W_stdv","Available","CNR","Broad"
"201510261330","7.72203","0.441872","6.77431","9.09557","7.4964","0.438752","6.53466","8.84445","7.44144","0.390586","6.51921","8.82878","183.339","3.14407","172.808","192.641","10.6049","0.0266456","10.5268","10.6516","6.87756","0.901642","4.27057","8.98471","186.5","6.8658","7.7","0.39","6.56","9.01","181.5","2.84924","-0.13","0.22","100","-9.92246","1.16"
"201510261340","7.25226","0.536731","5.54163","8.34639","7.04001","0.521652","5.41615","8.09657","6.96713","0.488898","5.72599","8.23779","180.777","3.08756","169.74","193.11","10.5289","0.0564653","10.4303","10.6325","5.94434","0.83786","3.69229","8.52913","184.212","5.92462","7.29","0.51","5.79","8.55","178.9","2.68297","-0.05","0.2","100","-9.80902","1.19"
"201510261350","7.78744","0.350159","6.83131","8.65908","7.58203","0.354524","6.66262","8.5387","7.63444","0.374854","6.3817","8.64144","180.909","3.49179","172.22","189.896","10.5614","0.0448047","10.4646","10.6325","6.55834","0.900467","4.31789","8.68675","184.024","6.53684","7.82","0.38","6.67","8.8","178.5","3.13684","-0.1","0.14","100","-9.95739","1.18"
"201510261400","7.40873","0.298525","6.48157","8.47554","7.22411","0.300979","6.33676","8.23428","7.33841","0.309709","6.35492","8.421","179.452","2.31746","173.121","187.386","10.6133","0.00797775","10.5978","10.6325","5.92537","0.617776","4.13237","7.96109","182.391","5.90617","7.57","0.37","6.38","8.63","177.6","2.79398","-0.18","0.14","100","-9.89909","1.18"
"201510261410","7.03564","0.345497","6.07725","7.8296","6.84748","0.332682","5.89642","7.66518","6.94722","0.327981","5.9246","7.69443","177.838","3.0405","170.454","187.51","10.585","0.0185872","10.5598","10.6325","5.61721","0.610064","3.95153","7.82008","180.153","5.59199","7.2","0.38","6.23","8.31","176.6","3.60361","-0.1","0.17","100","-10.0122","1.19"
"201510261420","7.09411","0.273325","6.29682","7.94571","6.91259","0.259692","6.1491","7.68492","6.98616","0.273146","6.27781","7.90387","177.058","2.38904","170.176","183.882","10.6606","0.0239786","10.5981","10.6939","5.52387","0.471636","3.90056","7.53159","179.164","5.50424","7.23","0.32","6.29","8.21","175.6","2.86109","-0.03","0.18","100","-10.6606","1.17"
"201510261430","6.64029","0.276655","6.0325","7.46131","6.47853","0.269078","5.91117","7.20852","6.49423","0.267317","5.90001","7.23008","172.128","2.72336","164.939","179.676","10.6218","0.0184264","10.5981","10.6626","5.28728","0.306953","3.83751","6.36347","173.373","5.27926","6.68","0.27","6.05","7.51","170.7","2.57634","-0.06","0.08","100","-11.3546","1.18"
"201510261440","6.94444","0.225875","6.20486","7.63808","6.78684","0.226782","5.95922","7.37078","6.83646","0.215537","6.07327","7.52573","170.882","1.81472","166.452","177.767","10.6237","0.0117391","10.5981","10.6516","5.64759","0.2771","4.27055","6.77975","172.626","5.64312","7.05","0.25","6.54","7.9","168.9","1.93516","-0.07","0.09","100","-11.3331","1.17"
"201510261450","6.9566","0.285159","6.3344","7.79457","6.80487","0.279714","6.17058","7.59829","6.88576","0.307296","6.23356","7.65502","171.404","1.50299","165.939","175.941","10.6242","0.00779819","10.6016","10.6483","5.67759","0.314408","4.72822","6.77983","172.91","5.6738","7.1","0.35","6.38","8.34","169.6","1.80396","-0.03","0.11","100","-11.1852","1.18"
"201510261500","6.14994","0.38538","5.40503","7.10305","6.0016","0.36719","5.22233","6.97386","6.02281","0.373733","5.21046","6.89148","171.903","3.06877","163.012","182.161","10.6354","0.0113228","10.617","10.6517","4.93474","0.355586","3.42053","6.11465","173.177","4.92481","6.24","0.44","5.23","7.3","170","3.25126","0.04","0.19","100","-11.0617","1.19"
